trial,average_blue_goals,goal_reward,chase_start_reward,chase_max_angle_degrees,hit_reward,opponent_touch_penalty,block_penalty,chase_cooldown_steps,agent_1_score,agent_2_score,agent_3_score,std_between_agents,average_red_goals,average_goal_difference
1,4.400000095367432,1.0,0.03,45,0.05,-0.1,-0.3,15,4.260000228881836,2.9200000762939453,6.019999980926514,1.2694355239350734,3.0899999936421714,1.3100000123182933
2,3.9199999968210855,1.0,0.03,45,0.23240402320428696,-0.5127183340636605,-1.2241217824843584,16,4.880000114440918,3.3499999046325684,3.5299999713897705,0.6827884862243057,3.486666679382324,0.4333333373069763
3,5.273333470026652,1.0,0.03,45,0.14193125727042166,-0.30334147276556134,-0.053228220396567494,41,6.300000190734863,5.570000171661377,3.950000047683716,0.9820500723755463,3.7733332316080728,1.5000000149011612
4,3.493333339691162,1.0,0.03,45,0.13130092549195196,-0.6647312666033238,-0.07548301423019255,60,2.7100000381469727,2.7899999618530273,4.980000019073486,1.0517393082056958,2.9600000381469727,0.5333333238959312
5,1.8166666825612385,1.0,0.03,45,0.010002329122634629,-0.13614325868263005,-1.0158897277545298,53,2.5,0.5,2.450000047683716,0.9312476804563581,2.053333361943563,-0.23666665951410928
