trial,average_blue_goals,hit_reward,opponent_touch_penalty,block_penalty,chase_cooldown_steps,agent_1_score,agent_2_score,agent_3_score,std_between_agents,average_red_goals,average_goal_difference
2,1.6666666666666667,0.22791019549541353,-0.28213137285772116,-0.3122942469034027,29,0.0,0.0,5.0,2.357022603955158,2.6666666666666665,-1.0
3,5.333333333333333,0.13575324049146173,-0.43990629100249845,-1.3715389166339025,48,16.0,0.0,0.0,7.542472332656507,7.666666666666667,-2.3333333333333335
4,9.0,0.12223742077921967,-0.7121019891443325,-0.6923598107247186,7,27.0,0.0,0.0,12.727922061357855,0.6666666666666666,8.333333333333334
5,0.0,0.002821820676946016,-0.7199232142906639,-0.47669351956092604,6,0.0,0.0,0.0,0.0,1.0,-1.0
6,0.0,0.07455997509229084,-0.04034303053149024,-1.0690763796081222,60,0.0,0.0,0.0,0.0,1.0,-1.0
